PAGE 2 | TEXT:  | URI: https://drive.google.com/file/d/1-NZkFupZLHKOLDbZGucJTByh4O1x_A1m/view?usp=drive_link
PAGE 2 | TEXT:  | URI: https://knhanes.kdca.go.kr/knhanes/archive/wsiStatsClct.do
PAGE 2 | TEXT:  | URI: https://sappira.co.kr/index.html
PAGE 2 | TEXT:  | URI: https://gooduniform.co.kr/main/index.asp
PAGE 2 | TEXT:  | URI: https://happysa.com/
PAGE 3 | TEXT:  | URI: https://drive.usercontent.google.com/u/0/uc?id=1EhSQ-zqGIBsBRTjXgJO4Xym_9viky1jy&export=download
PAGE 3 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=672
PAGE 3 | TEXT:  | URI: https://drive.google.com/file/d/1-3BUb5x0-dVxzVvB1DBZcZdrXE0FLYjA/view?usp=drive_link
PAGE 3 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=682
PAGE 3 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=683
PAGE 3 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=681
PAGE 3 | TEXT:  | URI: https://drive.google.com/file/d/1-Mubn7He8TKE7y0QuGPs_LuVKeyUSSmk/view?usp=sharing
PAGE 3 | TEXT:  | URI: https://drive.google.com/file/d/1bCuaVFuQpq6R4XoNyG_OcJIRlpj8fIMd/view
PAGE 3 | TEXT:  | URI: https://www.circulation.or.kr/bbs/index.php?code=guide&category=X&gubun=&page=1&number=7950&mode=view&keyfield=all&key=
PAGE 3 | TEXT:  | URI: https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20230201&sno=6&mtgMtrRegSno=0001#none
PAGE 3 | TEXT:  | URI: https://pharmacy.hsc.wvu.edu/media/1105/jnc-8-hypertension-guidelines.pdf
PAGE 3 | TEXT:  | URI: https://www.umpquahealth.com/wp-content/uploads/2019/03/jnc-8-hypertension-guideline-algorithm.pdf
PAGE 3 | TEXT:  | URI: https://www.circulation.or.kr/bbs/skin/guideline/download.php?code=guide&number=2636
PAGE 3 | TEXT:  | URI: https://www.kshf.or.kr/about/about_01.php
PAGE 3 | TEXT:  | URI: https://www.circulation.or.kr/bbs/index.php?code=guide&category=X&gubun=&page=1&number=8075&mode=view&keyfield=all&key=
PAGE 3 | TEXT:  | URI: https://www.kshf.or.kr/about/about_01.php
PAGE 3 | TEXT:  | URI: https://www.circulation.or.kr/bbs/skin/notice_popup/download.php?code=m_info&number=270
PAGE 3 | TEXT:  | URI: https://www.ksmi.re.kr/bbs/skin/notice_popup/download.php?code=notice&number=186
PAGE 3 | TEXT:  | URI: https://www.ksmi.re.kr/bbs/index.html?code=notice&category=&gubun=&page=1&number=62&mode=view&keyfield=&key=
PAGE 3 | TEXT:  | URI: https://www.circulation.or.kr/bbs/skin/notice_popup/download.php?code=m_info&number=268
PAGE 3 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=640
PAGE 3 | TEXT:  | URI: https://k-hrs.org/assets/file/2022_Korean_Arrhythmia_Society_NOAC_Guidelines.pdf
PAGE 3 | TEXT:  | URI: https://k-hrs.org/assets/file/2022_Korean_Arrhythmia_Society_NOAC_Guidelines.pdf
PAGE 3 | TEXT:  | URI: https://k-hrs.org/assets/file/Board_2021_%EB%8C%80%ED%95%9C%EB%B6%80%EC%A0%95%EB%A7%A5%ED%95%99%ED%9A%8C_%EC%8B%AC%EB%B0%A9%EC%84%B8%EB%8F%99_%EC%A7%84%EB%A3%8C%EC%A7%80%EC%B9%A8.pdf
PAGE 3 | TEXT:  | URI: https://doi.org/10.3904/kjm.2018.93.4.324
PAGE 3 | TEXT:  | URI: https://doi.org/10.3904/kjm.2018.93.4.336
PAGE 3 | TEXT:  | URI: https://www.ekjm.org/journal/view.php?doi=10.3904/kjm.2018.93.2.87
PAGE 3 | TEXT:  | URI: https://doi.org/10.3904/kjm.2018.93.2.110
PAGE 3 | TEXT:  | URI: https://doi.org/10.3904/kjm.2018.93.2.110
PAGE 3 | TEXT:  | URI: https://doi.org/10.3904/kjm.2018.93.2.133
PAGE 3 | TEXT:  | URI: http://ekjm.org/journal/view.php?doi=10.3904/kjm.2018.93.2.140
PAGE 4 | TEXT:  | URI: https://lipid.or.kr/uploaded/board/guideline/_ce93749f6bdf94453c23ace0baa9c8421.pdf
PAGE 4 | TEXT:  | URI: https://lipid.or.kr/uploaded/board/guideline/_50e8f3527d0798a82a29b8ef6c363cce2.pdf
PAGE 4 | TEXT:  | URI: https://lipid.or.kr/uploaded/board/factsheet/_1714d7c76807f2bc2746c00add38b0c92.pdf
PAGE 4 | TEXT:  | URI: https://lipid.or.kr/uploaded/board/factsheet/16670_1663226913.pdf
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=686
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=687
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=685
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=689
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_comm.php?path=L2hvbWUvdmlydHVhbC9ndWlkZS9uZXcvL3VwbG9hZC91c2VyX2NvbW11bml0eS8xNDI2MDQ0MzIyX+qzoOyngO2YiOymney5mOujjOygnCh1cGRhdGVfMTUuMDMuMTEpLnBkZg==&filename=MTQyNjA0NDMyMl/qs6Dsp4DtmIjspp3suZjro4zsoJwodXBkYXRlXzE1LjAzLjExKS5wZGY=&gubun=file_5_1&number=90
PAGE 4 | TEXT:  | URI: https://www.stroke.or.kr/file/pocketbook_230214.pdf
PAGE 4 | TEXT:  | URI: https://www.stroke.or.kr/guidelines/history.php
PAGE 4 | TEXT:  | URI: https://www.guideline.or.kr/func/download_renew.php?number=81
PAGE 5 | TEXT:  | URI: https://ginasthma.org/wp-content/uploads/2022/07/GINA-Main-Report-2022-FINAL-22-07-01-WMS.pdf
PAGE 5 | TEXT:  | URI: https://ginasthma.org/wp-content/uploads/2022/07/GINA-Main-Report-2022-FINAL-22-07-01-WMS.pdf
PAGE 5 | TEXT:  | URI: https://www.lungkorea.org/webzine/202205/asset/file/2022+%EC%B2%9C%EC%8B%9D+%EC%A7%84%EB%A3%8C%EC%A7%80%EC%B9%A8.pdf
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=596
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=597
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=626
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=574
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=595
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=627
PAGE 5 | TEXT:  | URI: https://www.allergy.or.kr/content/member/file/211028.pdf
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=606
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=691
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=692
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=690
PAGE 5 | TEXT:  | URI: https://www.lungkorea.org/bbs/skin/guide/download.php?code=guide&number=10635
PAGE 5 | TEXT:  | URI: https://www.allergy.or.kr/content/member/file/221222.pdf?v=1
PAGE 5 | TEXT:  | URI: https://www.kams.or.kr/func/download.php?guide_chk=Y&path=L2hvbWUvdmlydHVhbC9rYW1zL25ldy91cGxvYWQvb25saW5lMi8xNTMxMjc3NTYwMF/rp4zshLHquLDsuagg7KeE66OM7KeA7LmoLnBkZg==&filename=66eM7ISx6riw7LmoIOynhOujjOyngOy5qC5wZGY=
PAGE 5 | TEXT:  | URI: https://www.kams.or.kr/func/download.php?guide_chk=Y&path=L2hvbWUvdmlydHVhbC9rYW1zL25ldy91cGxvYWQvb25saW5lMi8xNTMxMjc3NTYwMV/rp4zshLHquLDsuagg7KeE66OM7KeA7LmoX+yalOyVveuzuC5wZGY=&filename=66eM7ISx6riw7LmoIOynhOujjOyngOy5qF/smpTslb3rs7gucGRm
PAGE 5 | TEXT:  | URI: https://www.guideline.or.kr/func/download_renew.php?number=85
PAGE 6 | TEXT:  | URI: https://www.helicojournal.org/upload/pdf/kjhugr-2020-0045.pdf
PAGE 6 | TEXT:  | URI: https://www.gutnliver.org/journal/download_pdf.php?doi=10.5009/gnl20154
PAGE 6 | TEXT:  | URI: https://www.gutnliver.org/journal/download_pdf.php?doi=10.5009/gnl20246
PAGE 6 | TEXT:  | URI: https://www.gutnliver.org/journal/download_pdf.php?doi=10.5009/gnl20246
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=127
PAGE 6 | TEXT:  | URI: https://www.ekjm.org/upload/kjm-2022-97-2-70.pdf
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4848
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4848
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4846
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4846
PAGE 6 | TEXT:  | URI: https://www.jnmjournal.org/journal/download_pdf.php?doi=10.5056/jnm19209
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4847
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=4847
PAGE 6 | TEXT:  | URI: http://m.kasid.org/file/intestinal_disease_guide.pdf
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=144
PAGE 6 | TEXT:  | URI: https://www.gastrokorea.org/bbs2/skin/notice/download.php?code=guide&number=145
PAGE 6 | TEXT:  | URI: https://www.gutnliver.org/journal/download_pdf.php?doi=10.5009/gnl20154
PAGE 6 | TEXT:  | URI: https://www.kasl.org/bbs/skin/guide/download.php?code=guide&number=11876
PAGE 6 | TEXT:  | URI: https://www.kasl.org/bbs/skin/guide/download.php?code=guide&number=10833
PAGE 7 | TEXT:  | URI: https://www.kasl.org/bbs/skin/guide/download.php?code=guide&number=15609
PAGE 7 | TEXT:  | URI: https://www.kasl.org/bbs/skin/guide/download.php?code=guide&number=10851
PAGE 7 | TEXT:  | URI: https://new.kasl.org/bbs/skin/guide/download.php?code=guide&number=15825
PAGE 7 | TEXT:  | URI: https://www.kasl.org/bbs/skin/guide/download.php?code=guide&number=13576
PAGE 7 | TEXT:  | URI: https://www.kaim.or.kr/major/file/05.pdf
PAGE 7 | TEXT:  | URI: https://ksn.or.kr/bbs/skin/publication/download.php?code=g_guideline&number=2012
PAGE 7 | TEXT:  | URI: https://annalsofintensivecare.springeropen.com/counter/pdf/10.1186/s13613-019-0509-8.pdf
PAGE 7 | TEXT:  | URI: https://www.ekjm.org/upload/7302s668.pdf
PAGE 7 | TEXT:  | URI: https://www.ekjm.org/upload/kjm-88-4-357.pdf
PAGE 7 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=573
PAGE 7 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=471
PAGE 7 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=572
PAGE 7 | TEXT:  | URI: https://pdfs.semanticscholar.org/c34b/9de4936e8f998b343d3e1437e25876033767.pdf
PAGE 7 | TEXT:  | URI: https://pdfs.semanticscholar.org/c34b/9de4936e8f998b343d3e1437e25876033767.pdf
PAGE 7 | TEXT:  | URI: http://www.transplant.bc.ca/Documents/Statistics/Clinical%20Guidelines%20for%20Kidney%20Transplantation.pdf
PAGE 7 | TEXT:  | URI: https://pmc.ncbi.nlm.nih.gov/articles/PMC5455080/pdf/12882_2017_Article_553.pdf
PAGE 7 | TEXT:  | URI: https://pmc.ncbi.nlm.nih.gov/articles/PMC5455080/pdf/12882_2017_Article_553.pdf
PAGE 7 | TEXT:  | URI: https://www.amjtransplant.org/action/showPdf?pii=S1600-6135%2822%2901933-5
PAGE 7 | TEXT:  | URI: https://www.amjtransplant.org/action/showPdf?pii=S1600-6135%2822%2901933-5
PAGE 8 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=616
PAGE 8 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=618
PAGE 8 | TEXT:  | URI: https://www.guideline.or.kr/func/download_chronic.php?number=625
PAGE 8 | TEXT:  | URI: https://diabetes.or.kr/bbs/download.php?code=guide&number=585
PAGE 8 | TEXT:  | URI: https://diabetes.or.kr/bbs/download.php?code=guide&number=584
PAGE 8 | TEXT:  | URI: https://diabetes.or.kr/bbs/download.php?code=insurance&number=2734
PAGE 8 | TEXT:  | URI: http://www.koacp.org/Upload/publications/4_1_06a%20%EA%B0%95%EB%AF%BC%EA%B5%AC.pdf
PAGE 8 | TEXT:  | URI: https://synapse.koreamed.org/upload/synapsedata/pdfdata/0186jkta/jkta-6-1.pdf
PAGE 8 | TEXT:  | URI: https://www.ksid.or.kr/file/Febrile_neutropenia.pdf
PAGE 8 | TEXT:  | URI: https://www.ksid.or.kr/file/Meningitis.pdf
PAGE 8 | TEXT:  | URI: https://www.ksat.or.kr/medical/sub01/2017_02_kor.pdf
PAGE 8 | TEXT:  | URI: https://www.ksid.or.kr/rang_board/inc/download.php?code=notice4&num=3561
PAGE 8 | TEXT:  | URI: https://synapse.koreamed.org/upload/synapsedata/pdfdata/0119jkma/jkma-58-635.pdf
PAGE 8 | TEXT:  | URI: https://www.otologicalsociety.or.kr/member/file/2014_01.pdf
PAGE 8 | TEXT:  | URI: https://www.lungkorea.org/bbs/skin/guide/download.php?code=guide&number=10597
PAGE 8 | TEXT:  | URI: https://www.lungkorea.org/bbs/skin/guide/download.php?code=guide&number=4424
PAGE 8 | TEXT:  | URI: https://www.lungkorea.org/bbs/skin/guide/download.php?code=guide&number=13891
PAGE 8 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/11_2018%20%EA%B5%AD%EA%B0%80%EA%B2%B0%ED%95%B5%EA%B4%80%EB%A6%AC%EC%A7%80%EC%B9%A8.pdf
PAGE 8 | TEXT:  | URI: https://iris.who.int/bitstream/handle/10665/255052/9789241550000-eng.pdf
PAGE 8 | TEXT:  | URI: https://iris.who.int/bitstream/handle/10665/255052/9789241550000-eng.pdf
PAGE 8 | TEXT:  | URI: https://iris.who.int/bitstream/handle/10665/250125/9789241549639-eng.pdf
PAGE 8 | TEXT:  | URI: https://iris.who.int/bitstream/handle/10665/250125/9789241549639-eng.pdf
PAGE 8 | TEXT:  | URI: https://www.nice.org.uk/guidance/ng33/resources/tuberculosis-pdf-1837390683589
PAGE 8 | TEXT:  | URI: https://www.ksid.or.kr/rang_board/inc/download.php?nocount=1&code=ncov_guide_do&num=6284
PAGE 9 | TEXT:  | URI: https://www.ksid.or.kr/board/download.php?code=notice3&num=6224&comm=
PAGE 9 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/03_ic-44-233.pdf
PAGE 9 | TEXT:  | URI: https://www.ekjm.org/upload/kjm-86-1-116-21.pdf
PAGE 9 | TEXT:  | URI: https://www.idsociety.org/globalassets/idsa/practice-guidelines/cdi-2021-focused-update.pdf
PAGE 9 | TEXT:  | URI: https://www.idsociety.org/globalassets/idsa/practice-guidelines/cdi-2021-focused-update.pdf
PAGE 9 | TEXT:  | URI: https://www.ksat.or.kr/medical/sub01/2019_01_kor.pdf
PAGE 9 | TEXT:  | URI: https://www.ksid.or.kr/file/GI.pdf
PAGE 9 | TEXT:  | URI: https://watermark.silverchair.com/50-2-133.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA0MwggM_BgkqhkiG9w0BBwagggMwMIIDLAIBADCCAyUGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMdBbDYieza68QibWBAgEQgIIC9iF2Ua9N6dIs0cgM6_MbHvw10wjMPiuzDQTq8kQY9D3RjiKTY-T63-ZzURg9Dla8RDTP6xm0QTZGq-v0XVV7fm94KWh0-EX4RzQbrpbkDTNvN6h1Vf5ayVNgwrq9_RQfFr2bw28NlmYGSvjg7TTX2rE0Yua7ZiBBOmRBzcBqgXT9za4WQQG4_vNfeDK6G3ryhzc1Ka19N0sm0G4YFxarVJUCpHCFXtfcL2RU_MY8aA1x2awLktpLGhQ0Rs-PDBHpH0NRzkVQFF0vI-slJuUO-1tWuF5etd-sQ5nCr_eLnUKGe85pQioV4trDV4EBtTX1BVIaSdQuj-mLKDgx-ugz9vXweSN1SG3clmvubDWt8dFcaCrvXoZKw_95HVFzPNOvyxuGb2wiu2M1MSVPiGuL3jGCBlUO3d11oM8d8cV1chNHjqpnDMhiTiBNFZc5LiLmxTU3qe1n9wt8GxXp2bvAi9GQ82XGmdpryV7FNIiYyyUrEoUVVpkXmHq-IeLOMWy1gqo023AwugQ-cG8dij6q6jLsGSHLl6Cqm1k38sIGk9vKAIneIIhZk8wWfk0ROxKdvGb4TUl4ndiXMqbvMhZ5S5D_rVN407hWAg3Lvw2-m2qhVQp_WcGjEecT6roO11ED2KblT2e0qEd10lTP3QbHACNBTGJKfcHYKsU2Vq6zzt7mkXh9COp8M0sGsrY2nG5VbXpcJpUBLbgcKeGcgwLG5vLgt13b43CRDXTTNCdBAbUInaDK21WWfl5Pw4zYJzcpoLb8N1a0cWzBAp9RIFeH5oWgq5agP-4ySaYfOUJqXNtiOlvg-GJAr35-cQcAMhEzWYJbBGELy6ablc1U6_O_zKTFKAfnJM64Uq_T0QTaaCJWEw5FRJJMyILHE7FEiO6GgIVVaJxfj-2ZIlwcTGEa0gl279FyWI1Em3rMDcxqB35CrDTGSUQ2u1b1uFNHj9RY-8ScPZOmDBYU_knhkemRFER39tSQR-WLpdqRoxi3F2O5kIblMcNA
PAGE 9 | TEXT:  | URI: https://watermark.silverchair.com/50-2-133.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA0MwggM_BgkqhkiG9w0BBwagggMwMIIDLAIBADCCAyUGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMdBbDYieza68QibWBAgEQgIIC9iF2Ua9N6dIs0cgM6_MbHvw10wjMPiuzDQTq8kQY9D3RjiKTY-T63-ZzURg9Dla8RDTP6xm0QTZGq-v0XVV7fm94KWh0-EX4RzQbrpbkDTNvN6h1Vf5ayVNgwrq9_RQfFr2bw28NlmYGSvjg7TTX2rE0Yua7ZiBBOmRBzcBqgXT9za4WQQG4_vNfeDK6G3ryhzc1Ka19N0sm0G4YFxarVJUCpHCFXtfcL2RU_MY8aA1x2awLktpLGhQ0Rs-PDBHpH0NRzkVQFF0vI-slJuUO-1tWuF5etd-sQ5nCr_eLnUKGe85pQioV4trDV4EBtTX1BVIaSdQuj-mLKDgx-ugz9vXweSN1SG3clmvubDWt8dFcaCrvXoZKw_95HVFzPNOvyxuGb2wiu2M1MSVPiGuL3jGCBlUO3d11oM8d8cV1chNHjqpnDMhiTiBNFZc5LiLmxTU3qe1n9wt8GxXp2bvAi9GQ82XGmdpryV7FNIiYyyUrEoUVVpkXmHq-IeLOMWy1gqo023AwugQ-cG8dij6q6jLsGSHLl6Cqm1k38sIGk9vKAIneIIhZk8wWfk0ROxKdvGb4TUl4ndiXMqbvMhZ5S5D_rVN407hWAg3Lvw2-m2qhVQp_WcGjEecT6roO11ED2KblT2e0qEd10lTP3QbHACNBTGJKfcHYKsU2Vq6zzt7mkXh9COp8M0sGsrY2nG5VbXpcJpUBLbgcKeGcgwLG5vLgt13b43CRDXTTNCdBAbUInaDK21WWfl5Pw4zYJzcpoLb8N1a0cWzBAp9RIFeH5oWgq5agP-4ySaYfOUJqXNtiOlvg-GJAr35-cQcAMhEzWYJbBGELy6ablc1U6_O_zKTFKAfnJM64Uq_T0QTaaCJWEw5FRJJMyILHE7FEiO6GgIVVaJxfj-2ZIlwcTGEa0gl279FyWI1Em3rMDcxqB35CrDTGSUQ2u1b1uFNHj9RY-8ScPZOmDBYU_knhkemRFER39tSQR-WLpdqRoxi3F2O5kIblMcNA
PAGE 9 | TEXT:  | URI: https://www.liebertpub.com/doi/pdf/10.1089/sur.2016.261
PAGE 9 | TEXT:  | URI: https://www.liebertpub.com/doi/pdf/10.1089/sur.2016.261
PAGE 9 | TEXT:  | URI: https://www.uti.or.kr/include/pdf/antibiotic-use-2018.pdf
PAGE 9 | TEXT:  | URI: https://www.uti.or.kr/include/pdf/simple-guid-2016.pdf
PAGE 9 | TEXT:  | URI: https://www.ksid.or.kr/file/UTI.pdf
PAGE 9 | TEXT:  | URI: https://www.ksid.or.kr/file/UTI.pdf
PAGE 9 | TEXT:  | URI: https://www.uti.or.kr/include/pdf/antibiotic-use-2018.pdf
PAGE 9 | TEXT:  | URI: https://www.clinicalmicrobiologyandinfection.com/action/showPdf?pii=S1198-743X%2818%2930051-X
PAGE 9 | TEXT:  | URI: https://academic.oup.com/cid/article-pdf/63/4/e1/34129734/ciw326.pdf
PAGE 9 | TEXT:  | URI: https://academic.oup.com/cid/article-pdf/62/4/e1/17852729/civ933.pdf
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/79_ic-46-125.pdf
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/file/Cardiovascular.pdf
PAGE 10 | TEXT:  | URI: https://www.kdca.go.kr/filepath/boardDownload.es?bid=0019&list_no=714161&seq=1
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/file/2019_190503.pdf
PAGE 10 | TEXT:  | URI: https://www.kdca.go.kr/filepath/boardDownload.es?bid=0019&list_no=727442&seq=1
PAGE 10 | TEXT:  | URI: https://www.kdca.go.kr/filepath/boardDownload.es?bid=0019&list_no=721869&seq=1
PAGE 10 | TEXT:  | URI: https://www.kdca.go.kr/filepath/boardDownload.es?bid=0019&list_no=138138&seq=236
PAGE 10 | TEXT:  | URI: https://clinicalinfo.hiv.gov/sites/default/files/guidelines/documents/adult-adolescent-arv/guidelines-adult-adolescent-arv.pdf
PAGE 10 | TEXT:  | URI: https://clinicalinfo.hiv.gov/sites/default/files/guidelines/documents/adult-adolescent-arv/guidelines-adult-adolescent-arv.pdf
PAGE 10 | TEXT:  | URI: https://clinicalinfo.hiv.gov/sites/default/files/guidelines/documents/adult-adolescent-oi/guidelines-adult-adolescent-oi.pdf
PAGE 10 | TEXT:  | URI: https://clinicalinfo.hiv.gov/sites/default/files/guidelines/documents/adult-adolescent-oi/guidelines-adult-adolescent-oi.pdf
PAGE 10 | TEXT:  | URI: https://www.eacsociety.org/media/guidelines-11.1_final_09-10.pdf
PAGE 10 | TEXT:  | URI: https://icjournal.org/src/sm/ic-48-54-s001.pdf
PAGE 10 | TEXT:  | URI: https://www.guideline.or.kr/func/download_renew.php?number=90
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/30_ic-49-301.pdf
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/30_ic-49-301.pdf
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/practice_file/31_ic-44-213.pdf
PAGE 10 | TEXT:  | URI: https://academic.oup.com/cid/article-pdf/59/2/e10/28951783/ciu296.pdf
PAGE 10 | TEXT:  | URI: https://academic.oup.com/cid/article-pdf/59/2/e10/28951783/ciu296.pdf
PAGE 10 | TEXT:  | URI: https://icjournal.org/src/sm/ic-49-301-s001.pdf
PAGE 10 | TEXT:  | URI: https://www.ksid.or.kr/file/SSTI.pdf
PAGE 10 | TEXT:  | URI: https://synapse.koreamed.org/upload/synapsedata/pdfdata/0119jkma/jkma-60-409.pdf
PAGE 11 | TEXT:  | URI: https://www.headache.or.kr/m/bbs/board.php?bo_table=3_5_1_1&wr_id=4
PAGE 11 | TEXT:  | URI: https://www.guideline.or.kr/func/download.php?path=L2hvbWUvdmlydHVhbC9ndWlkZS9uZXcvdXBsb2FkL29ubGluZTIvMTU0ODA1MzU2NDBf65GQ7Ya1IOynhOujjOyngOy5qF/tlZzqta3soJXsi6Dsi6DssrTsnZjtlZntmoxf67O47LGFLnBkZg==&filename=65GQ7Ya1IOynhOujjOyngOy5qF/tlZzqta3soJXsi6Dsi6DssrTsnZjtlZntmoxf67O47LGFLnBkZg==
PAGE 11 | TEXT:  | URI: https://www.jkna.org/upload/pdf/jkna-39-4-255.pdf
PAGE 11 | TEXT:  | URI: https://www.kes.or.kr/file/info/kes_guidelines.pdf
PAGE 11 | TEXT:  | URI: https://dnd.or.kr/DownloadSupplMaterial.php?id=10.12779/dnd.2022.21.1.42&fn=dnd-21-42-s001.pdf
